Stock,Year,Recruits,Spawners
Stock4,1989,0.012842,0.002534
Stock4,1990,0.03113,0.00786
Stock4,1991,0.048625,0.004919
Stock4,1992,0.012869,0.00256
Stock4,1993,0.020467,0.001184
Stock4,1994,0.010849,0.00438
Stock4,1995,0.027351,0.034417
Stock4,1996,0.026776,0.008176
Stock4,1997,0.005024,0.004811
Stock4,1998,0.017001,0.004751
Stock4,1999,0.019734,0.008238
Stock4,2000,0.025283,0.01344
Stock4,2001,0.006825,0.005842
Stock4,2002,0.007674,0.00877
Stock4,2003,0.003792,0.006752
Stock4,2004,0.00609,0.000916
Stock4,2005,0.002258,0.00173
Stock4,2006,0.017423,0.001554
Stock4,2007,0.008379,0.002173
Stock4,2008,0.000782,0.001005
Stock4,2009,0.006209,0.001814
Stock4,2010,0.027259,0.008439
Stock4,2011,NA,0.004101
Stock4,2012,NA,0.000059
Stock4,2013,NA,0.003257
Stock4,2014,NA,0.012064
Stock4,2015,NA,0.003838
Stock5,1948,0.063337,0.010359
Stock5,1949,0.039626,0.006113
Stock5,1950,0.045539,0.006404
Stock5,1951,0.047645,0.008544
Stock5,1952,0.051177,0.015617
Stock5,1953,0.032124,0.007904
Stock5,1954,0.050257,0.009988
Stock5,1955,0.060357,0.005079
Stock5,1956,0.025364,0.009037
Stock5,1957,0.020943,0.00686
Stock5,1958,0.023103,0.010214
Stock5,1959,0.023584,0.01021
Stock5,1960,0.016764,0.005513
Stock5,1961,0.024293,0.007293
Stock5,1962,0.040549,0.007613
Stock5,1963,0.009355,0.008683
Stock5,1964,0.048511,0.005177
Stock5,1965,0.020553,0.006624
Stock5,1966,0.023219,0.006244
Stock5,1967,0.009621,0.001279
Stock5,1968,0.106299,0.008089
Stock5,1969,0.013989,0.005537
Stock5,1970,0.008823,0.004462
Stock5,1971,0.011686,0.000801
Stock5,1972,0.057734,0.011048
Stock5,1973,0.009339,0.002714
Stock5,1974,0.012017,0.002383
Stock5,1975,0.006429,0.002609
Stock5,1976,0.01987,0.008665
Stock5,1977,0.005917,0.000617
Stock5,1978,0.01845,0.002493
Stock5,1979,0.003039,0.001758
Stock5,1980,0.051611,0.005418
Stock5,1981,0.00861,0.000815
Stock5,1982,0.003742,0.002992
Stock5,1983,0.004051,0.00278
Stock5,1984,0.04673,0.019086
Stock5,1985,0.004421,0.003638
Stock5,1986,0.003013,0.002095
Stock5,1987,0.00382,0.001436
Stock5,1988,0.050087,0.019851
Stock5,1989,0.011292,0.001647
